project,branch,bug_report
accumulo,bugs-dot-jar_ACCUMULO-1044_9396979b,"{'BugID': 'ACCUMULO-1044', 'Summary': 'bulk imported files showing up in metadata after bulk import fails', 'Description': 'Bulk import fails.  The file is moved to the failures directory.\n\nBut references in the !METADATA table remain.\n'}"
accumulo,bugs-dot-jar_ACCUMULO-1044_ea2f9856,"{'BugID': 'ACCUMULO-1044', 'Summary': 'bulk imported files showing up in metadata after bulk import fails', 'Description': 'Bulk import fails.  The file is moved to the failures directory.\n\nBut references in the !METADATA table remain.\n'}"
accumulo,bugs-dot-jar_ACCUMULO-1051_25cf3ccd,"{'BugID': 'ACCUMULO-1051', 'Summary': 'Authorizations has inconsistent serialization', 'Description': 'The same set of authorizations may not serialize to the same value each time, if specified in a different order when constructed (like new Authorizations(""a"", ""b"") and new Authorizations(""b"", ""a"")), because serialization reproducibility depends on the insert order in the underlying HashSet.\n\nSo, one could get the following to happen:\n{code:java}\ntrue == auths1.equals(auths2) && !auths1.serialize().equals(auths2.serialize());\n{code}'}"
accumulo,bugs-dot-jar_ACCUMULO-1120_474b2577,"{'BugID': 'ACCUMULO-1120', 'Summary': ""stop-all doesn't work: Error BAD_CREDENTIALS for user root"", 'Description': '{noformat}\n$ bin/accumulo admin stopAll\n2013-02-27 14:56:14,072 [util.Admin] ERROR: org.apache.accumulo.core.client.AccumuloSecurityException: Error BAD_CREDENTIALS for user root - Username or Password is Invalid\norg.apache.accumulo.core.client.AccumuloSecurityException: Error BAD_CREDENTIALS for user root - Username or Password is Invalid\n\tat org.apache.accumulo.core.client.impl.MasterClient.execute(MasterClient.java:119)\n\tat org.apache.accumulo.server.util.Admin.stopServer(Admin.java:107)\n\tat org.apache.accumulo.server.util.Admin.main(Admin.java:95)\n\tat sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)\n\tat sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)\n\tat sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)\n\tat java.lang.reflect.Method.invoke(Method.java:597)\n\tat org.apache.accumulo.start.Main$1.run(Main.java:97)\n\tat java.lang.Thread.run(Thread.java:662)\nCaused by: ThriftSecurityException(user:root, code:BAD_CREDENTIALS)\n\tat org.apache.accumulo.core.master.thrift.MasterClientService$shutdown_result$shutdown_resultStandardScheme.read(MasterClientService.java:8424)\n\tat org.apache.accumulo.core.master.thrift.MasterClientService$shutdown_result$shutdown_resultStandardScheme.read(MasterClientService.java:8410)\n\tat org.apache.accumulo.core.master.thrift.MasterClientService$shutdown_result.read(MasterClientService.java:8360)\n\tat org.apache.thrift.TServiceClient.receiveBase(TServiceClient.java:78)\n\tat org.apache.accumulo.core.master.thrift.MasterClientService$Client.recv_shutdown(MasterClientService.java:312)\n\tat org.apache.accumulo.core.master.thrift.MasterClientService$Client.shutdown(MasterClientService.java:297)\n\tat org.apache.accumulo.server.util.Admin$1.execute(Admin.java:110)\n\tat org.apache.accumulo.server.util.Admin$1.execute(Admin.java:107)\n\tat org.apache.accumulo.core.client.impl.MasterClient.execute(MasterClient.java:113)\n\t... 8 more\n\n{noformat}\n'}"
accumulo,bugs-dot-jar_ACCUMULO-1183_742960f1,"{'BugID': 'ACCUMULO-1183', 'Summary': 'ProxyServer does not set column information on BatchScanner', 'Description': 'The createScanner method uses the options from the thrift request to call fetchColumn() and fetchColumnFamily(). The createBatchScanner should be doing have the same feature, though the statements are absent from the code.'}"
accumulo,bugs-dot-jar_ACCUMULO-1183_cfbf5999,"{'BugID': 'ACCUMULO-1183', 'Summary': 'ProxyServer does not set column information on BatchScanner', 'Description': 'The createScanner method uses the options from the thrift request to call fetchColumn() and fetchColumnFamily(). The createBatchScanner should be doing have the same feature, though the statements are absent from the code.'}"
accumulo,bugs-dot-jar_ACCUMULO-1190_e29dc4f5,"{'BugID': 'ACCUMULO-1190', 'Summary': 'The update() method on the ProxyServer should throw a MutationsRejectedException', 'Description': None}"
accumulo,bugs-dot-jar_ACCUMULO-1192_9476b877,"{'BugID': 'ACCUMULO-1192', 'Summary': '""du"" on a table without files does not report', 'Description': '{noformat}\nshell> createtable t\nshell> du t\nshell>\n{noformat}\n\nexpected:\n\n{noformat}\nshell> du t\n             0 t\nshell>\n{noformat}\n'}"
accumulo,bugs-dot-jar_ACCUMULO-1192_c489d866,"{'BugID': 'ACCUMULO-1192', 'Summary': '""du"" on a table without files does not report', 'Description': '{noformat}\nshell> createtable t\nshell> du t\nshell>\n{noformat}\n\nexpected:\n\n{noformat}\nshell> du t\n             0 t\nshell>\n{noformat}\n'}"
accumulo,bugs-dot-jar_ACCUMULO-1199_813109d7,"{'BugID': 'ACCUMULO-1199', 'Summary': 'Verify all methods in the ProxyService that take table names actually throw TableNotFoundException when the table is missing.', 'Description': None}"
